==4588== NVPROF is profiling process 4588, command: ./bfs32 ../../data/ship_003.mtx
==4588== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==4588== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4588== Profiling application: ./bfs32 ../../data/ship_003.mtx
==4588== Profiling result:
==4588== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"gld_requested_throughput","Requested Global Load Throughput",181.435186GB/s,183.146279GB/s,182.529193GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"gst_requested_throughput","Requested Global Store Throughput",223.719353MB/s,225.829223MB/s,225.068307MB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"gld_throughput","Global Load Throughput",260.461905GB/s,262.918289GB/s,262.032421GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"gst_throughput","Global Store Throughput",1.747807GB/s,1.764291GB/s,1.758346GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"tex_cache_hit_rate","Unified Cache Hit Rate",73.506788%,73.567549%,73.532661%
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",5.028917%,5.627858%,5.429140%
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",96.871714%,96.871714%,96.871714%
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"tex_cache_throughput","Unified Cache Throughput",531.410654GB/s,536.422323GB/s,534.614920GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",185.710055GB/s,187.620083GB/s,186.892984GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",1.747807GB/s,1.764291GB/s,1.758346GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"l2_read_throughput","L2 Throughput (Reads)",186.011464GB/s,187.694755GB/s,186.973609GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"l2_write_throughput","L2 Throughput (Writes)",1.753780GB/s,1.770320GB/s,1.764355GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"sysmem_write_throughput","System Memory Write Throughput",2.352464MB/s,2.374650MB/s,2.366633MB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_bin_masked_v4<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int, unsigned int const *)",59,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
